source,target,weight,evidence,sign,input_form,log2FC,padj
MAFB,SRPK2,1,DoRothEA_confC,Activator,Hill_activator,0.293737439410183,0.76406676180586
NR2F1,KAZN,1,DoRothEA_confC,Activator,Hill_activator,0.253417672251554,0.767968985660256
MEF2A,HDAC9,1,DoRothEA_confC,Activator,Hill_activator,-0.456107355890304,0.769820284370309
AR,QSOX1,3,DoRothEA_confA,Activator,Hill_activator,0.853982238060646,0.772794101648029
KLF5,AGRN,1,DoRothEA_confC,Activator,Hill_activator,-0.331453419668052,0.791010509951739
AR,HK2,3,DoRothEA_confA,Activator,Hill_activator,1.22105947502671,0.795356355968867
AR,LIFR,3,DoRothEA_confA,Activator,Hill_activator,0.297407377459738,0.795356355968867
EPAS1,PDGFB,3,DoRothEA_confA,Activator,Hill_activator,1.10790920130779,0.795950415422516
CREB1,PPP2CA,3,DoRothEA_confA,Activator,Hill_activator,0.210356218111252,0.795950415422516
KLF6,EHD1,1,DoRothEA_confC,Activator,Hill_activator,0.743173089785213,0.80085818354395
AR,FKBP5,3,DoRothEA_confA,Activator,Hill_activator,0.671765231267561,0.80085818354395
NR2F1,TPCN1,1,DoRothEA_confC,Activator,Hill_activator,0.640791874671966,0.807764501129812
NR2F1,FLT4,1,DoRothEA_confC,Activator,Hill_activator,1.73839621291948,0.819836561754465
SMAD3,AHR,3,DoRothEA_confA,Activator,Hill_activator,1.07235498039201,0.825107357048616
MEF2A,KDM4C,1,DoRothEA_confC,Activator,Hill_activator,-0.294443741445073,0.825107357048616
KLF5,MKNK2,1,DoRothEA_confC,Activator,Hill_activator,0.67189290769101,0.825107357048616
MEF2A,HIVEP2,1,DoRothEA_confC,Activator,Hill_activator,-0.293173780391544,0.834591700383173
RARA,BTG2,3,DoRothEA_confA,Activator,Hill_activator,-0.972597723532557,0.838819259588455
CREB1,CGA,3,DoRothEA_confA,Activator,Hill_activator,4.90727642985871,0.83982660671825
SMAD3,BAMBI,3,DoRothEA_confA,Activator,Hill_activator,1.16097455486064,0.839994283506494
AR,VAPA,3,DoRothEA_confA,Activator,Hill_activator,0.406034763874508,0.84917365210644
MYCN,MCM7,3,DoRothEA_confA,Activator,Hill_activator,0.626691803258589,0.850023387972587
AR,SCAP,3,DoRothEA_confA,Activator,Hill_activator,-0.256018716437938,0.857724023088114
CREB1,PCK2,3,DoRothEA_confA,Activator,Hill_activator,-0.562732263558237,0.860024198450547
AR,STXBP2,3,DoRothEA_confA,Activator,Hill_activator,0.527463657842127,0.860024198450547
EPAS1,TERT,3,DoRothEA_confA,Activator,Hill_activator,1.32048376139547,0.862961605636936
SMAD3,TERT,3,DoRothEA_confA,Repressor,Hill_repressor,1.32048376139547,0.862961605636936
PROX1,SAP30BP,1,DoRothEA_confC,Activator,Hill_activator,0.707932152716682,0.864167865981626
MEF2A,MEF2C,1,DoRothEA_confC,Activator,Hill_activator,-0.28225387331923,0.865104190712928
KLF5,TECR,1,DoRothEA_confC,Activator,Hill_activator,-0.162433928827544,0.865490203452577
KLF6,TECR,1,DoRothEA_confC,Activator,Hill_activator,-0.162433928827544,0.865490203452577
CREB1,SPRY2,3,DoRothEA_confA,Activator,Hill_activator,0.54651405225234,0.867134737560008
KLF5,LTBP4,1,DoRothEA_confC,Activator,Hill_activator,-0.321701783384868,0.867430171766942
KLF6,LTBP4,1,DoRothEA_confC,Activator,Hill_activator,-0.321701783384868,0.867430171766942
MEF2A,SCHIP1,1,DoRothEA_confC,Activator,Hill_activator,-0.913155300838311,0.870084836074901
POU2F1,SNAPC1,3,DoRothEA_confA,Activator,Hill_activator,-0.380578935819526,0.870084836074901
AR,SUOX,3,DoRothEA_confA,Activator,Hill_activator,0.930946443524669,0.870084836074901
AR,VEGFA,3,DoRothEA_confA,Activator,Hill_activator,-0.579893960639911,0.870084836074901
CREB1,VEGFA,3,DoRothEA_confA,Activator,Hill_activator,-0.579893960639911,0.870084836074901
EPAS1,VEGFA,3,DoRothEA_confA,Activator,Hill_activator,-0.579893960639911,0.870084836074901
PGR,VEGFA,3,DoRothEA_confA,Activator,Hill_activator,-0.579893960639911,0.870084836074901
SMAD3,VEGFA,3,DoRothEA_confA,Activator,Hill_activator,-0.579893960639911,0.870084836074901
KLF6,ITGB1,1,DoRothEA_confC,Activator,Hill_activator,0.449411390066721,0.87207926391761
MEF2A,ITGB1,1,DoRothEA_confC,Activator,Hill_activator,0.449411390066721,0.87207926391761
