source,target,sign,weight,evidence
KLF5,PRKCZ,Activator,1.0,DoRothEA_confC
KLF5,PTCH1,Activator,1.0,DoRothEA_confC
KLF5,RAB11A,Activator,1.0,DoRothEA_confC
KLF5,RAB11FIP1,Activator,1.0,DoRothEA_confC
KLF5,RALGDS,Activator,1.0,DoRothEA_confC
KLF5,RXRA,Activator,1.0,DoRothEA_confC
KLF5,S100A16,Activator,1.0,DoRothEA_confC
KLF5,SCNN1A,Activator,1.0,DoRothEA_confC
KLF5,SLC2A1,Activator,1.0,DoRothEA_confC
KLF5,SLC48A1,Activator,1.0,DoRothEA_confC
KLF5,SPIRE2,Activator,1.0,DoRothEA_confC
KLF5,SREBF1,Activator,1.0,DoRothEA_confC
KLF5,STX1A,Activator,1.0,DoRothEA_confC
KLF5,TCF3,Activator,1.0,DoRothEA_confC
KLF5,TECR,Activator,1.0,DoRothEA_confC
KLF5,WWC1,Activator,1.0,DoRothEA_confC
KLF5,YWHAZ,Activator,1.0,DoRothEA_confC
KLF5,ZBTB7C,Activator,1.0,DoRothEA_confC
KLF5,ZFP217,Activator,1.0,DoRothEA_confC
KLF6,IGF1R,Activator,1.0,DoRothEA_confC
KLF6,ACTN1,Activator,1.0,DoRothEA_confC
KLF6,ANXA2,Activator,1.0,DoRothEA_confC
KLF6,ARID5B,Activator,1.0,DoRothEA_confC
KLF6,ASAP1,Activator,1.0,DoRothEA_confC
KLF6,CLIP2,Activator,1.0,DoRothEA_confC
KLF6,CTNNBIP1,Activator,1.0,DoRothEA_confC
KLF6,DUSP10,Activator,1.0,DoRothEA_confC
KLF6,EHD1,Activator,1.0,DoRothEA_confC
KLF6,EPS8,Activator,1.0,DoRothEA_confC
KLF6,ERRFI1,Activator,1.0,DoRothEA_confC
KLF6,ETS1,Activator,1.0,DoRothEA_confC
KLF6,ETS2,Activator,1.0,DoRothEA_confC
KLF6,IER5,Activator,1.0,DoRothEA_confC
KLF6,ITGB1,Activator,1.0,DoRothEA_confC
KLF6,LDLR,Activator,1.0,DoRothEA_confC
KLF6,LHFPL2,Activator,1.0,DoRothEA_confC
KLF6,LMNA,Activator,1.0,DoRothEA_confC
KLF6,LRRFIP1,Activator,1.0,DoRothEA_confC
KLF6,LTBP4,Activator,1.0,DoRothEA_confC
KLF6,MACF1,Activator,1.0,DoRothEA_confC
KLF6,MSI2,Activator,1.0,DoRothEA_confC
KLF6,MYH9,Activator,1.0,DoRothEA_confC
KLF6,NEDD9,Activator,1.0,DoRothEA_confC
KLF6,PLEC,Activator,1.0,DoRothEA_confC
KLF6,PTP4A1,Activator,1.0,DoRothEA_confC
KLF6,RBCK1,Activator,1.0,DoRothEA_confC
KLF6,RND3,Activator,1.0,DoRothEA_confC
KLF6,SH3BP2,Activator,1.0,DoRothEA_confC
KLF6,SH3BP4,Activator,1.0,DoRothEA_confC
